id,herb_hindi,synonyms,herb_english,botanical_name,varga_category,classical_properties,raw_karma_sanskrit,english_symptoms,hindi_symptoms
BPN_0001,हरीतकी,"अभया, पथ्या, कायस्था, पूतना,अमृता,  हैमवती, अव्यथा, चेतकी, श्रेयसी, शिवा,  वयस्था, विजया, जीवन्ती, रोहिणी,",,,हरीतक्यादिवर्गः,"Rasa: पञ्चरस अलवण | Guna: रूक्ष, लघु | Virya: उष्ण | Vipaka: मधुर/स्वादु","दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश्मरी, मूत्रकृच्छ्र, मूत्राघात",,
BPN_0006,अथ हरीतकीगुणानाह,,,,हरीतक्यादिवर्गः,"Rasa: पञ्चरस अलवण तुवर कषाय | Guna: रूक्ष, लघु | Virya: उष्ण | Vipaka: मधुर/स्वादु","दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश्मरी, मूत्रकृच्छ्र, मूत्राघात",,
BPN_0007,अथ हरीतक्याः प्रभावनिबन्धनं दोषहन्तृत्वं न तु रसनिबन्धनमित्याह,,,,हरीतक्यादिवर्गः,"Rasa: स्वादु, तिक्त, कषाय, अम्ल, कटु","पित्तहृत्, कफहृत्, वातहृत्, त्रिदोषहन्तृत्व",,
BPN_0008,अथ हरीतक्यां तद्रसादीनां स्थानान्याह,,,,हरीतक्यादिवर्गः,Rasa: पथ्याया मज्जनि – स्वादु; स्नाय्वाम् – आम्ल; वृन्ते – तिक्त; त्वचि – कटु; अस्थि - तुवर,,,
BPN_0009,अथ उत्तमहरीतक्या लक्षणान्याह,,,,हरीतक्यादिवर्गः,"Guna: स्निग्धा, घना, वृत्तागुर्वी","क्षिप्ता, अम्भसि - अतिगुणप्रदा",,
BPN_0010,अथ हरीतक्याः प्रयोगभेदेन फलभेदानाह,,,,हरीतक्यादिवर्गः,,"अग्निवर्धका, मलशोधिनी, स्विन्ना, संग्राहिणी, पथ्या, भृष्टा, त्रिदोषनुत्, बुद्धिबल-इन्द्रिय-उन्मीलिनी, पित्तकफननिर्मूलिनी, मूत्र-शकृत् -लविस्रंसिनी, अन्नपानकृतदोष-अन्वात-पित्त-कफोद्भव आशुहरा, लवणेन कफहरा, सशर्करया पित्तहरा, घृतेन वातजान्, गुडान्वितसर्वरोगहर",,
BPN_0011,विभीतकः (त्रिलिङ्गकः),"अक्ष, कर्षफल, कलिद्रुम, भूतवास, कलियुगालय",,,हरीतक्यादिवर्गः,"Rasa: कषाय | Guna: शीतल, रूक्ष, लघु | Virya: उष्ण | Vipaka: मधुर","कफपित्तनुत्, भेदन, कासनाशन, नेत्रहित, केश्य, कृमिवैस्वर्यनाशन, मज्जा-तृट्-छर्दि-कफवातहर, मदकृत्",,
BPN_0012,आमलकी,"वयस्या, आमलकी, वृष्या, जातीफलरसा, शिव, धात्रीफल, श्रीफल, अमृतफल",,,हरीतक्यादिवर्गः,"Rasa: आम्ल, मधुर, कषाय | Guna: रूक्ष | Virya: उष्ण अथवा शीत","रक्त-पित्त-प्रमेहघ्न, वृष्य, रसायन, वातह, त्रिदोषजित्",,
BPN_0013,त्रिफला,-,,,हरीतक्यादिवर्गः,,"कफ-पित्तघ्नी, मेह-कुष्ठहरा, सरा, चक्षुष्या, दीपनी, रुच्या, विषम-ज्वरनाशिनी",,
BPN_0014,शुण्ठी,"शुण्ठी, विश्वा, विश्व, नागर, विश्वभेषज, ऊषण, कटुभद्र, शृङ्गवेर, महौषध ",,,हरीतक्यादिवर्गः,"Rasa: कटु | Guna: लघु, स्निग्ध | Virya: उष्ण | Vipaka: मधुर","रुच्या, आम-वातघ्नी, पाचनी, कफ-वात-विबन्धनुत्, वृष्या, स्वर्य्या-वमि-श्वास-शूल-कास-हृदामय-श्लीपद-शोथार्श, आनाह -उदरमारुतहरा",,
BPN_0015,आर्द्रकम्,"आर्द्रकम्, शृङ्गबेर, कटुभद्र, आर्द्रिका ",,,हरीतक्यादिवर्गः,"Rasa: कटु | Guna: तीक्ष्ण, रूक्ष, गुरु | Virya: उष्ण | Vipaka: मधुर","भेदिनी, गुर्वी, दीपनी, वात-कफापहा, शुण्ठगुणसम",,
BPN_0016,पिप्पली,"पिप्पली, मागधी, कृष्णा, वैदेही, चपला, कणा, उपकुल्या, ऊषणा, शौण्डी, कोला, तीक्ष्णतण्डुला ",,,हरीतक्यादिवर्गः,"Rasa: कटु | Guna: अनुष्णा, स्निग्ध, लघु | Vipaka: मधुर","दीपनी, वृष्या, रसायनी, वात-श्लेष्महर, रेचनी, श्वास-कास-उदरज्वरहर, कुष्ठ-प्रमेह-गुल्मार्शः प्लीह-शूल-आम-मारुतनाशक",,
BPN_0017,आर्द्रा,,,,हरीतक्यादिवर्गः,"Rasa: मधुरा | Guna: स्निग्धा, शीतला, गुरु","कफप्रदा, पित्तप्रशमनी",,
BPN_0018,शुष्का,,,,हरीतक्यादिवर्गः,,पित्तप्रकोपिणी,,
BPN_0019,मधुसंयुक्ता,,,,हरीतक्यादिवर्गः,,"मेदः-कफविनाशिनी, श्वास-कास-ज्वरहरी, वृष्या, मेध्या, अग्निवर्द्धिनी",,
BPN_0020,मरीचम्,"मरीच, वेल्लज, कृष्ण, ऊषण, धर्मपत्तन ",,,हरीतक्यादिवर्गः,"Rasa: कटु | Guna: तीक्ष्ण, रूक्ष | Virya: उष्ण","दीपन, कफ-वातजित्, पित्तकर, श्वास-शूल-कृमिहर",,
BPN_0021,आर्द्रम्,,,,हरीतक्यादिवर्गः,"Rasa: , कटु, | Guna: गुरु, तीक्ष्ण | Virya: उष्ण | Vipaka: मधुर","श्लेष्मप्रसेकि, अपित्तल",,
BPN_0022,त्रिकटु,कटुत्रिक त्रिकटु त्र्यूषण व्योष ,,,हरीतक्यादिवर्गः,,"त्र्यूषणं, दीपन, श्वास-कास-त्वगामयहर, गुल्म-मेह-कफ-स्थौल्य-मेदः-श्लीपद-पीनसहर",,
BPN_0023,पिप्पलीमूलम्,"ग्रन्थिक, पिप्पलीमूल, ऊषण, चटकाशिर ",,,हरीतक्यादिवर्गः,"Rasa: कटु | Guna: लघु, रूक्ष | Virya: उष्ण","दीपन, पाचन, पित्तकर, भेदि, कफ-वातो-दरापह, आनाह-प्लीह-गुल्मघ्न, कृमि-श्वास-क्षयापह",,
BPN_0024,चव्यम्,"चव्य, चविका, ऊषण",,,हरीतक्यादिवर्गः,"Rasa: कटु | Guna: लघु, रूक्ष | Virya: उष्ण","गुदजापह, कणामूलगुणं",,
BPN_0025,गजपिप्पली,"कपिवल्ली, कोलवल्ली, श्रेयसी, वशिर",,,हरीतक्यादिवर्गः,Rasa: कटु | Virya: उष्ण,"वात-श्लेष्मह, द्वह्निवर्धिनी, अतीसार-श्वास-कण्ठामय-क्रिमिहन्त्री",,
BPN_0026,चित्रकम्,"चित्रक, अनलनामा, पाठी, व्याल, ऊषण ",,,हरीतक्यादिवर्गः,"Rasa: कटु | Guna: लघु, रूक्ष | Virya: उष्ण | Vipaka: कटु","वह्निकृत्, पाचन, ग्रहणी-कुष्ठ-शोथ-आर्श-कृमि-कासनुत्, वात-श्लेष्महरी, ग्राही, वातघ्न, श्लेष्म-पित्तहृत्",,
BPN_0027,पञ्चकोलम्,,,,हरीतक्यादिवर्गः,Rasa: कटु | Guna: तीक्ष्ण | Virya: उष्ण | Vipaka: कटु,"रुचिकृत्, पाचन, श्रेष्ठ, दीपन, कफ-वातनुत्, गुल्म-प्लीह-उदरानाह-शूलघ्न, पित्तकोपन",,
BPN_0028,षडूषणम्,,,,हरीतक्यादिवर्गः,Guna: रूक्ष | Virya: उष्ण,विषापह,,
BPN_0029,यवानिका,"यवानिका, उग्रगन्धा, ब्रह्मदर्भा, अजमोदिका, दीप्यका, दीप्या, यवसाह्वया",,,हरीतक्यादिवर्गः,"Rasa: कटु, तिक्त | Guna: तीक्ष्ण, लघु | Virya: उष्ण","पाचनी, रुच्या, दीपनी, पित्तला शुक्र-शूलहृत्, वात-श्लेष्मो-उदर-आनाह-गुल्म-प्लीह-कृमिप्रणुत्",,
BPN_0030,अजमोदा,"अजमोदा, खराश्वा, मायूरः, दीप्यक, ब्रह्मकुशा, कारवी, लोचमस्तका",,,हरीतक्यादिवर्गः,"Rasa: कटु | Guna: लघु, तीक्ष्ण | Virya: उष्ण","दीपनी, कफवातनुत्, विदाहिनी, हृद्या, वृष्या, बलकरी, नेत्रामय-कृमिच्छर्दि-हिक्का-बस्ति-रुजहर",,
BPN_0031,पारसीकयवनी,,,,हरीतक्यादिवर्गः,Guna: गुरु,"पाचनी, रुच्या, ग्राहिणी, मादिनी",,
BPN_0032,शुक्लजीरक,"जीरक, जरण, अजाजी, कणा, दीर्घजीरक",,,हरीतक्यादिवर्गः,"Rasa: कटु | Guna: रूक्ष, लघु | Virya: उष्ण","दीपन, संग्राही, पित्तल, मेध्य, गर्भाशयविशुद्धिकृत्, ज्वरघ्न, पाचन, वृष्य, बल्य, रुच्य, कफापह, चक्षुष्य, पवन-अध्मान-गुल्म-च्छर्द्य-तिसारहृत्",,
BPN_0033,कृष्णजीरक,"कृष्णजीर, सुगन्ध, उद्गारशोधन  ",,,हरीतक्यादिवर्गः,,,,
BPN_0034,कालिका,"कालाजाजी, सुषवी, कालिका, उपकालिका, पृथ्वीका, कारवी, पृथ्वी, पृथु, कृष्णा, उपकुञ्चिका, उपकुञ्ची, कुञ्ची, बृहज्जीरक ",,,हरीतक्यादिवर्गः,,,,
BPN_0035,धान्यकम्,"धान्यक, धानक, धान्य, धाना, धानेयक, कुनटी, धेनुका, छत्रा, कुस्तुम्बुरु, वितुन्नक ",,,हरीतक्यादिवर्गः,"Rasa: कषाय, तिक्त, कटु | Guna: स्निग्ध, लघु | Virya: उष्ण | Vipaka: मधुर","अवृष्य, मूत्रल, दीपन, पाचन, ज्वरघ्न, रोचक, ग्राहि, त्रिदोषनुत्, तृष्णा-दाह-वमि-श्वास-कास-कार्श्य-क्रिमिप्रणुत्",,
BPN_0036,आर्द्रम्,,,,हरीतक्यादिवर्गः,Rasa: स्वादु,पित्तनाशन,,
BPN_0037,शतपुष्पा,"शतपुष्पा, शताह्वा, मधुरा, कारवी, मिसि, अतिलम्बी, सितच्छत्रा, संहितच्छत्रिका",,,हरीतक्यादिवर्गः,"Rasa: कटु | Guna: तीक्ष्ण, लघु | Virya: उष्ण","पित्तकृत्, दीपनी, ज्वर-अनिल-श्लेष्म-व्रण-शूल-अक्षिरोगहृत्",,
BPN_0038,मिश्रेया,"छत्रा, शालेय, शालीन, मिश्रेया, मधुरा, मिसि ",,,हरीतक्यादिवर्गः,Guna: रूक्ष | Virya: उष्ण,"निशूलनुत्, अग्निमान्द्यहरी, हृद्या, वद्धविट्कृमि-शुक्रहृत्, पाचनी, कास-वमि-श्लेष्म-अनिलाह्वरेत्",,
BPN_0039,मेथी-वनमेथी,"मेथिका, मेथिनी, मेथी, दीपनी, बहुपत्रिका, बोधिनी, बहुबीजा, ज्योतिः, गन्धफला, वल्लरी, चन्द्रिका, मन्था, मिश्रपुष्पा, कैरवी, कुञ्जिका, बहुपर्णी, पीतबीजा, मुनिच्छदा  ",,,हरीतक्यादिवर्गः,,"वातशामनी, श्लेष्मघ्नी, ज्वरनाशिनी, स्वल्पगुणवती",,
BPN_0040,चन्द्रशूरः,"चेन्द्रिका, चर्महन्त्री, पशुमेहनकारिका, नन्दिनी, कारवी, भद्रा, वासपुष्पा, सुवासरा",,,हरीतक्यादिवर्गः,,"हिक्का-वात-श्लेष्म-अतिसारिहित, असृग्वात-गदद्वेषि, बलपुष्टिविवर्द्धन",,
BPN_0041,चतुर्बीजम्,,,,हरीतक्यादिवर्गः,,पवन-आमय-अजीर्ण-शूलमाध्मान-पार्श्वशूल-कटिव्यथानिहन,,
BPN_0042,हिङ्गु,"सहस्रवेधि, जतुक, बाह्लीक, हिङ्गु, रामठ",,,हरीतक्यादिवर्गः,Guna: तीक्ष्ण | Virya: उष्ण,"पाचन, रुच्य, वातवलासनुत्, शूल-गुल्म-उदर-आनाहकृमिघ्न, पित्तवर्द्धन",,
BPN_0043,वचा,"वाचा, उग्रगन्धा, षड्ग्रन्था, गोलोमी, शतपर्विका, क्षुद्रपत्री, मङ्गल्या, जटिला, उग्रा, लोमशा ",,,हरीतक्यादिवर्गः,"Guna: तिक्त, कटु | Virya: उष्ण","उग्रगन्धा, वान्तिवह्निकृत्, विबन्धाध्मानशूलघ्नी, शकृन्मूत्रविशोधिनी, अपस्मार-कफ-उन्मांद-भूत-जन्तु-अनिलहर",,
BPN_0044,पारसीक (खुरासानी),,,,हरीतक्यादिवर्गः,,वातहर,,
BPN_0047,महाभरीवचा (कुलिञ्जन),,,,हरीतक्यादिवर्गः,,"कफ-कासनुत्, सुस्वरत्वकरी, रुच्या, हृत्कण्ठ-मुखशोधिनी",,
