herb_sanskrit,varga_category,synonyms,classical_properties,raw_karma_sanskrit,english_disease,english_herb,botanical_name,english_guess,source_text,source_verse_ids
हरीतकी,हरीतक्यादिवर्गः,"अभया, पथ्या, कायस्था, पूतना,अमृता,  हैमवती, अव्यथा, चेतकी, श्रेयसी, शिवा,  वयस्था, विजया, जीवन्ती, रोहिणी,","Rasa: पञ्चरस अलवण | Guna: रूक्ष, लघु | Virya: उष्ण | Vipaka: मधुर/स्वादु","दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश्मरी, मूत्रकृच्छ्र, मूत्राघात",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001
आमलकी,हरीतक्यादिवर्गः,"वयस्या, आमलकी, वृष्या, जातीफलरसा, शिव, धात्रीफल, श्रीफल, अमृतफल","Rasa: आम्ल, मधुर, कषाय | Guna: रूक्ष | Virya: उष्ण अथवा शीत","रक्त-पित्त-प्रमेहघ्न, वृष्य, रसायन, वातह, त्रिदोषजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0012
त्रिफला,हरीतक्यादिवर्गः,-,,"कफ-पित्तघ्नी, मेह-कुष्ठहरा, सरा, चक्षुष्या, दीपनी, रुच्या, विषम-ज्वरनाशिनी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0013
शुण्ठी,हरीतक्यादिवर्गः,"शुण्ठी, विश्वा, विश्व, नागर, विश्वभेषज, ऊषण, कटुभद्र, शृङ्गवेर, महौषध","Rasa: कटु | Guna: लघु, स्निग्ध | Virya: उष्ण | Vipaka: मधुर","रुच्या, आम-वातघ्नी, पाचनी, कफ-वात-विबन्धनुत्, वृष्या, स्वर्य्या-वमि-श्वास-शूल-कास-हृदामय-श्लीपद-शोथार्श, आनाह -उदरमारुतहरा",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0014
आर्द्रकम्,हरीतक्यादिवर्गः,"आर्द्रकम्, शृङ्गबेर, कटुभद्र, आर्द्रिका","Rasa: कटु | Guna: तीक्ष्ण, रूक्ष, गुरु | Virya: उष्ण | Vipaka: मधुर","भेदिनी, गुर्वी, दीपनी, वात-कफापहा, शुण्ठगुणसम",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0015
पिप्पली,हरीतक्यादिवर्गः,"पिप्पली, मागधी, कृष्णा, वैदेही, चपला, कणा, उपकुल्या, ऊषणा, शौण्डी, कोला, तीक्ष्णतण्डुला","Rasa: कटु | Guna: अनुष्णा, स्निग्ध, लघु | Vipaka: मधुर","दीपनी, वृष्या, रसायनी, वात-श्लेष्महर, रेचनी, श्वास-कास-उदरज्वरहर, कुष्ठ-प्रमेह-गुल्मार्शः प्लीह-शूल-आम-मारुतनाशक",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0016
आर्द्रा,हरीतक्यादिवर्गः,,"Rasa: मधुरा | Guna: स्निग्धा, शीतला, गुरु","कफप्रदा, पित्तप्रशमनी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0017
शुष्का,हरीतक्यादिवर्गः,,,पित्तप्रकोपिणी,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0018
मधुसंयुक्ता,हरीतक्यादिवर्गः,,,"मेदः-कफविनाशिनी, श्वास-कास-ज्वरहरी, वृष्या, मेध्या, अग्निवर्द्धिनी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0019
मरीचम्,हरीतक्यादिवर्गः,"मरीच, वेल्लज, कृष्ण, ऊषण, धर्मपत्तन","Rasa: कटु | Guna: तीक्ष्ण, रूक्ष | Virya: उष्ण","दीपन, कफ-वातजित्, पित्तकर, श्वास-शूल-कृमिहर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0020
