id,herb_hindi,synonyms,herb_english,botanical_name,varga_category,classical_properties,raw_karma_sanskrit,english_symptoms,hindi_symptoms,blocking_issues,warnings
BPN_0006,अथ हरीतकीगुणानाह,,,,हरीतक्यादिवर्गः,"Rasa: पञ्चरस अलवण तुवर कषाय | Guna: रूक्ष, लघु | Virya: उष्ण | Vipaka: मधुर/स्वादु","दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश्मरी, मूत्रकृच्छ्र, मूत्राघात",,,COMMENTARY_AS_HEADWORD|MULTI_ENTITY_OR_GROUP_HEADWORD,
BPN_0007,अथ हरीतक्याः प्रभावनिबन्धनं दोषहन्तृत्वं न तु रसनिबन्धनमित्याह,,,,हरीतक्यादिवर्गः,"Rasa: स्वादु, तिक्त, कषाय, अम्ल, कटु","पित्तहृत्, कफहृत्, वातहृत्, त्रिदोषहन्तृत्व",,,COMMENTARY_AS_HEADWORD|HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,
BPN_0008,अथ हरीतक्यां तद्रसादीनां स्थानान्याह,,,,हरीतक्यादिवर्गः,Rasa: पथ्याया मज्जनि – स्वादु; स्नाय्वाम् – आम्ल; वृन्ते – तिक्त; त्वचि – कटु; अस्थि - तुवर,,,,COMMENTARY_AS_HEADWORD|HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD|NO_KARMA_FOR_RECOMMENDATION,
BPN_0009,अथ उत्तमहरीतक्या लक्षणान्याह,,,,हरीतक्यादिवर्गः,"Guna: स्निग्धा, घना, वृत्तागुर्वी","क्षिप्ता, अम्भसि - अतिगुणप्रदा",,,COMMENTARY_AS_HEADWORD|HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,
BPN_0010,अथ हरीतक्याः प्रयोगभेदेन फलभेदानाह,,,,हरीतक्यादिवर्गः,,"अग्निवर्धका, मलशोधिनी, स्विन्ना, संग्राहिणी, पथ्या, भृष्टा, त्रिदोषनुत्, बुद्धिबल-इन्द्रिय-उन्मीलिनी, पित्तकफननिर्मूलिनी, मूत्र-शकृत् -लविस्रंसिनी, अन्नपानकृतदोष-अन्वात-पित्त-कफोद्भव आशुहरा, लवणेन कफहरा, सशर्करया पित्तहरा, घृतेन वातजान्, गुडान्वितसर्वरोगहर",,,COMMENTARY_AS_HEADWORD|HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,MISSING_CLASSICAL_PROPERTIES
BPN_0011,विभीतकः (त्रिलिङ्गकः),"अक्ष, कर्षफल, कलिद्रुम, भूतवास, कलियुगालय",,,हरीतक्यादिवर्गः,"Rasa: कषाय | Guna: शीतल, रूक्ष, लघु | Virya: उष्ण | Vipaka: मधुर","कफपित्तनुत्, भेदन, कासनाशन, नेत्रहित, केश्य, कृमिवैस्वर्यनाशन, मज्जा-तृट्-छर्दि-कफवातहर, मदकृत्",,,MULTI_ENTITY_OR_GROUP_HEADWORD,
BPN_0021,आर्द्रम्,,,,हरीतक्यादिवर्गः,"Rasa: , कटु, | Guna: गुरु, तीक्ष्ण | Virya: उष्ण | Vipaka: मधुर","श्लेष्मप्रसेकि, अपित्तल",,,CONTEXT_DEPENDENT_HEADWORD,
BPN_0027,पञ्चकोलम्,,,,हरीतक्यादिवर्गः,Rasa: कटु | Guna: तीक्ष्ण | Virya: उष्ण | Vipaka: कटु,"रुचिकृत्, पाचन, श्रेष्ठ, दीपन, कफ-वातनुत्, गुल्म-प्लीह-उदरानाह-शूलघ्न, पित्तकोपन",,,MULTI_ENTITY_OR_GROUP_HEADWORD,
BPN_0033,कृष्णजीरक,"कृष्णजीर, सुगन्ध, उद्गारशोधन",,,हरीतक्यादिवर्गः,,,,,NO_PROPERTIES_OR_KARMA,
BPN_0034,कालिका,"कालाजाजी, सुषवी, कालिका, उपकालिका, पृथ्वीका, कारवी, पृथ्वी, पृथु, कृष्णा, उपकुञ्चिका, उपकुञ्ची, कुञ्ची, बृहज्जीरक",,,हरीतक्यादिवर्गः,,,,,NO_PROPERTIES_OR_KARMA,
