sanskrit_devanagari,sanskrit_roman,english_name,english_aliases,classical_synonyms,source_text,source_verse_ids,source_example,ambiguity_notes,verification_status,verified_by
अक्षिरोग,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0037|BPN_0279,"पित्तकृत्, दीपनी, ज्वर-अनिल-श्लेष्म-व्रण-शूल-अक्षिरोगहृत् || दाह-तृष्णा-विसर्पा-अस्र-मूत्र-कृच्छ्रा-अक्षिरोगजित्, दोषत्रयहर, वृष्य, मेखलोपयोगी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अक्षिरोगक्षो,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0149,"कर्ण-कण्ठा-अक्षिरोगक्षोहर, कफा-अनिल-स्वेद-दाह-कास-मूर्च्छा-व्रणापह",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अग्नि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0113|BPN_0408|BPN_0487|BPN_0648|BPN_0873,"पित्तघ्न, केश्य-अग्निकृत् || मरुत् -अग्निप्रद, हृद्य, पित्तल, वृश्चिकादि-विष-श्लेष्म-वात-कुष्ठ-क्रिमि-प्रणुत्, सुगन्धिक",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अग्निमति,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0735,"कफ-पित्तनुत्, बल्य, केश्य, शीतस्पर्श, त्वच्य, स्तन्य, व्रणहित, दन्त्य, अल्पमूत्रकृत्, ग्राही, वातघ्न, अग्निमतिप्रद शुक्रलो",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अग्निमान्द्य,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0038|BPN_0660,"निशूलनुत्, अग्निमान्द्यहरी, हृद्या, वद्धविट्कृमि-शुक्रहृत्, पाचनी, कास-वमि-श्लेष्म-अनिलाह्वरेत् || नेत्रहिता, स्फोटक्षयापहा, कर्णस्राव-अग्निमान्द्यघ्न, पित्ता-अस्र-कफ-नाशिनी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अग्निरोहिणी,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0329,"रक्त-विष-व्रणापह, विसर्प-दाहा-अतीसार-लूताभूता-अग्निरोहिणीनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अग्निवि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0614,"गुल्मोदरा-अर्शः-शूलाम-आमवात-भगन्दर, कामला-शोथ-कुष्ठ-क्षय-कान्तमयहर, प्लीहा-अम्लपित्त-यकृत्छिरोहर, सर्वरोगविजयी, बलवीर्यवपुःपुष्टिकर, अग्निविवर्धन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अजीर्ण,Ajirna,indigestion,dyspepsia,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0041|BPN_0127|BPN_0581|BPN_0969|BPN_1008|BPN_1025,"पवन-आमय-अजीर्ण-शूलमाध्मान-पार्श्वशूल-कटिव्यथानिहन || दीपन, दन्तहर्षण, रुच्य, शूला-अजीर्ण-विबन्धनुत्",Classical digestive category,PROVISIONAL_TEST_ONLY,
अजीर्णविबन्ध,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1008,"रोचन, रुच्य, पाचन, वह्निदीपन, शूल-अजीर्णविबन्धघ्न, कोष्ठशुद्धिकर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अतिसार,Atisara,diarrhea,loose stools,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0040|BPN_0103|BPN_0212|BPN_0223|BPN_0252|BPN_0362|BPN_0425|BPN_0445|BPN_0450|BPN_0562|BPN_0613|BPN_1075,"छर्दि-ज्वर-श्वासा-अतिसार-जित्, शोष-दोषत्रयहरी, बृंहणी, रसायनी, विषहरी, क्षतकास-कृमिप्रणुत् || शुक्रला, चक्षुष्या, क्षतशोथघ्नी, ग्राहिणी, ज्वरदाहनुत्, दोषत्रयहरी, ग्रहणी, अर्शो-अतिसारजित्",Broad classical category,PROVISIONAL_TEST_ONLY,
